NCBI GeneID,Transcript Accession,Transcript_length
6725030,XM_039297961.2,3831
6725030,XM_039297960.2,3822
6725031,XM_016173355.3,1127
6725032,XM_002106027.4,2618
6725034,XM_016173015.3,2272
6725034,XM_016173016.3,2396
6725036,XM_039297952.2,5976
6725036,XM_039297954.2,5628
6725036,XM_039297953.2,5513
6725036,XM_039297951.2,5486
6725036,XM_039297950.2,6791
6725036,XM_039297955.2,5838
6725037,XM_002106032.4,2081
6725039,XM_016173366.3,2969
6725041,XM_016173371.3,1407
6725041,XM_016173368.3,2813
6725041,XM_016173370.3,2239
6725041,XM_016173369.3,2058
6725043,XM_016173372.3,6887
6725043,XM_002105654.4,6782
6725043,XM_016173373.3,6702
6725045,XM_039296304.1,2741
6725045,XM_002106037.4,2775
6725045,XM_016173013.3,2567
6725046,XM_016173376.3,2755
6725046,XM_016173375.3,2844
6725046,XM_016173377.3,2886
6725046,XM_016173378.3,2718
6725047,XM_039296306.2,1788
6725048,XM_016173380.3,2016
6725049,XM_039296299.1,9503
6725049,XM_016173009.3,9772
6725049,XM_016173011.2,9718
6725049,XM_039296298.1,9691
6725049,XM_039296297.1,9703
6725049,XM_039296296.1,9751
6725049,XM_016173010.3,9772
6725049,XM_016173012.2,9775
6725049,XM_039296295.2,9066
6725049,XM_039296294.2,9175
6725051,XM_002106043.4,3814
6725052,XM_039296301.2,3457
6725053,XM_039296300.2,3094
6725055,XM_039296307.2,2006
6725056,XM_016173008.3,8984
6725056,XM_039296292.2,9158
6725056,XM_016173006.3,9258
6725057,XM_016174505.3,2795
6725059,XM_039296614.2,5583
6725059,XM_039296615.2,5433
6725059,XM_039296616.2,5145
6725059,XM_039296608.2,7960
6725059,XM_039296612.2,7672
6725059,XM_039296611.2,7870
6725059,XM_039296613.2,7582
6725059,XM_039296610.2,7843
6725059,XM_039296609.2,7614
6725059,XM_039296617.2,6420
6725061,XM_016173002.3,3024
6725062,XM_044923549.1,1351
6725063,XM_016173389.3,905
6725067,XM_039296625.1,10049
6725067,XM_039296624.1,10049
6725067,XM_016173391.2,10054
6725067,XM_016173393.3,9103
6725067,XM_039296626.2,9009
6725067,XM_016173392.3,9035
6725067,XM_039296627.2,9029
6725067,XM_016173390.3,9022
6725068,XM_002106060.4,1555
6725069,XM_016173000.3,4815
6725069,XM_016172996.3,4902
6725069,XM_039296629.2,4938
6725069,XM_016172994.3,4860
6725069,XM_016172997.3,4947
6725069,XM_039296628.2,4983
6725069,XM_039296630.2,3594
6725069,XM_016172995.3,3545
6725069,XM_016172998.3,4061
6725069,XM_016172999.3,4106
6725070,XM_016173394.3,426
6725071,XM_002106063.4,878
6725072,XM_016173395.3,3831
6725072,XM_002106064.4,4100
6725074,XM_002106066.4,813
6725075,XM_002106067.4,455
6725076,XM_002106068.4,731
6725078,XM_016173398.3,3310
6725078,XM_016173399.3,3262
6725078,XM_016173400.3,3227
6725078,XM_016173397.3,3454
6725079,XM_016173406.3,1449
6725079,XM_002106071.4,1591
6725079,XM_039291512.2,1377
6725079,XM_039291513.2,1341
6725082,XM_002106073.4,2329
6725082,XR_006542070.1,1969
6725083,XM_002106074.4,583
6725085,XM_016172990.3,2070
6725088,XM_002106079.4,335
6725090,XM_002106081.4,1637
6725091,XM_044923675.1,5116
6725091,XM_016173410.3,4840
6725091,XM_016173408.3,4840
6725091,XM_016173409.3,4366
6725092,XM_002106083.4,3796
6725093,XM_044923678.1,7601
6725093,XM_039297413.2,7496
6725093,XM_044923679.1,4755
6725093,XM_044923680.1,4226
6725093,XR_005544639.1,6678
6725097,XM_039298161.1,4819
6725097,XM_039298162.2,4816
6725097,XM_039298163.1,4816
6725097,XM_039298165.2,4810
6725097,XM_039298164.1,4810
6725097,XM_039298166.2,4807
6725097,XM_039298167.2,4804
6725098,XM_016173419.2,4033
6725099,XM_016172989.3,4196
6725100,XM_002106090.4,887
6725101,XM_002106091.4,1661
6725102,XM_016172988.3,3510
6725103,XM_002106093.4,1047
6725104,XM_016172987.3,1774
6725105,XM_002106095.4,989
6725106,XM_002106096.3,1257
6725107,XM_039296774.1,2071
6725108,XM_002106098.4,987
6725110,XM_039297207.2,4514
6725111,XM_039297210.2,2416
6725113,XM_002106103.4,968
6725114,XM_016172983.3,1525
6725115,XM_002106105.4,709
6725116,XM_002106106.4,1182
6725118,XM_016172982.3,2655
6725119,XM_016172980.3,5704
6725120,XM_016173422.3,1803
6725120,XM_016173423.3,1914
6725121,XM_002106111.4,1782
6725126,XM_002106116.4,1369
6725127,XM_002106117.4,1106
6725129,XM_016172977.3,504
6725130,XM_002106120.4,1747
6725131,XM_002106121.4,872
6725132,XM_002106122.4,1947
6725133,XM_039297385.1,3582
6725135,XM_002106125.4,1891
6725136,XM_016173427.3,3227
6725136,XM_016173428.3,2318
6725137,XM_002106127.4,2824
6725138,XM_016173429.2,2156
6725140,XM_016173433.3,6039
6725140,XM_016173432.3,6021
6725140,XM_016173434.3,5552
6725140,XM_016173431.3,5611
6725140,XM_016173430.3,6114
6725140,XM_044923527.1,5923
6725141,XM_002106131.4,1003
6725145,XM_039297762.2,6241
6725145,XM_039297763.2,6136
6725145,XM_039297761.2,7288
6725145,XM_039297760.2,7398
6725145,XM_039297759.2,7407
6725145,XM_039297758.2,7790
6725145,XM_039297757.2,7865
6725147,XM_002106137.4,11158
6725152,XM_016172973.3,2552
6725152,XM_002106142.4,2553
6725153,XM_044923742.1,2318
6725153,XM_002106143.4,2386
6725153,XR_006542100.1,2491
6725154,XM_002106144.3,1008
6725157,XM_039297281.2,5393
6725157,XM_016173446.3,5288
6725157,XM_039297278.2,5401
6725157,XM_016173447.3,5401
6725157,XM_016173458.3,5398
6725157,XM_016173445.3,5273
6725157,XM_016173466.3,5239
6725157,XM_039297276.2,5401
6725157,XM_016173451.3,5395
6725157,XM_016173461.3,5395
6725157,XM_039297282.2,5386
6725157,XM_016173450.3,5299
6725157,XM_039297283.2,5293
6725157,XM_016173457.3,5290
6725157,XM_039297277.2,5334
6725157,XM_016173456.3,5292
6725157,XM_039297279.2,5201
6725157,XM_039297280.2,5194
6725157,XM_016173448.3,3767
6725157,XM_016173462.3,3757
6725157,XM_039297284.2,3756
6725157,XM_016173455.3,4058
6725159,XM_044923648.1,1396
6725159,XM_044923647.1,1469
6725159,XM_016172972.3,2357
6725159,XM_002106149.4,2430
6725160,XM_016172969.3,2073
6725161,XM_039297275.2,4204
6725161,XM_016173469.3,4130
6725161,XM_044923646.1,4203
6725162,XM_002106152.4,2304
6725163,XM_016173472.3,3531
6725163,XM_016173471.3,3265
6725163,XM_016173470.2,3252
6725165,XM_002106155.4,1917
6725166,XM_016172968.3,832
6725167,XM_002106157.4,796
6725168,XM_002106158.4,1271
6725170,XM_016172967.3,2764
6725170,XM_002106159.4,2745
6725170,XM_039296792.1,2339
6725170,XM_039296791.2,1857
6725171,XM_039296773.2,3624
6725174,XM_016172966.3,2111
6725175,XM_002106163.4,1296
6725175,XM_016172965.3,1271
6725177,XM_016172954.3,4846
6725177,XM_039297925.2,5113
6725177,XM_039297926.2,4850
6725177,XM_039297927.2,5117
6725177,XM_016172953.3,4677
6725177,XM_016172959.3,4776
6725177,XM_016172952.3,4716
6725177,XM_016172960.3,4827
6725177,XM_016172961.3,4695
6725177,XM_016172962.3,4806
6725177,XM_016172957.3,4734
6725177,XM_016172956.3,4824
6725177,XM_039297928.2,4833
6725177,XM_016172964.3,4793
6725177,XM_016172958.3,4210
6725177,XM_016172955.3,4243
6725178,XM_039297051.2,6729
6725181,XM_002106169.4,1157
6725182,XM_016173476.3,3625
6725182,XM_016173475.3,3617
6725182,XM_039297054.2,3047
6725183,XM_002106171.2,841
6725184,XM_016173477.3,588
6725184,XM_002106172.4,628
6725185,XM_016172947.2,1360
6725187,XM_016173479.2,2526
6725188,XM_002106176.4,1122
6725189,XM_002106177.4,3686
6725190,XM_002106178.4,1933
6725191,XM_002106179.4,2032
6725192,XM_039297053.2,3276
6725192,XM_039297052.2,4012
6725193,XM_016172941.3,3209
6725193,XM_016172942.3,3193
6725193,XM_016172944.3,2900
6725193,XM_044923592.1,2788
6725193,XM_016172946.3,2765
6725193,XM_016172943.3,2783
6725195,XM_002106182.4,2391
6725195,XM_016172939.3,1532
6725195,XM_039297055.2,1457
6725196,XM_002106183.4,3563
6725196,XM_039297056.1,2806
6725197,XM_039297536.2,5728
6725197,XM_039297535.2,5734
6725197,XM_039297532.2,6046
6725197,XM_039297533.2,5715
6725197,XM_039297538.2,5605
6725197,XM_039297537.2,5546
6725197,XM_039297540.2,5639
6725197,XM_039297539.2,5564
6725197,XM_039297534.2,5648
6725198,XM_016173481.3,3281
6725199,XM_016173482.3,1333
6725200,XM_002106187.3,762
6725201,XM_002106188.4,2428
6725202,XM_016172937.3,2062
6725202,XM_039297542.2,2038
6725205,XM_016172935.3,1987
6725206,XM_016172934.3,2094
6725208,XM_002106195.4,3543
6725209,XM_039297541.2,4306
6725211,XM_002106198.4,2300
6725212,XM_002106199.4,681
6725213,XM_002106200.4,1087
6725214,XM_002106201.4,848
6725215,XM_002106202.4,1009
6725216,XM_016173486.2,4397
6725218,XM_002106204.4,1004
6725219,XM_039297273.2,825
6725221,XM_002106207.4,760
6725222,XM_002106208.4,1146
6725223,XM_016172933.3,2409
6725224,XM_044923561.1,2633
6725224,XM_016173487.3,2615
6725225,XM_016173488.3,2127
6725226,XM_002106212.4,1835
6725227,XM_002106213.4,2476
6725227,XM_016173490.3,3649
6725228,XM_016172932.2,1985
6725228,XM_039296876.2,1770
6725229,XM_044923559.1,2836
6725229,XM_044923558.1,2813
6725229,XM_044923560.1,2721
6725229,XM_016173492.3,3120
6725229,XM_016173493.3,3124
6725229,XM_016173491.3,3101
6725230,XM_039296877.2,2087
6725232,XM_002106218.3,1589
6725233,XM_002106219.4,1324
6725233,XM_044923562.1,935
6725234,XM_002106220.4,1192
6725235,XM_002106221.4,1419
6725236,XM_016172931.3,5755
6725237,XM_016173496.3,3810
6725237,XM_016173497.3,3807
6725238,XM_002106224.3,2654
6725239,XM_002106225.4,2549
6725240,XM_039296522.2,2000
6725242,XM_002106228.4,766
6725243,XM_016173498.3,8573
6725244,XM_016173500.3,3292
6725244,XM_039296517.2,3460
6725244,XM_039296516.2,3289
6725246,XM_002106232.4,900
6725247,XM_002106233.4,816
6725248,XM_016172929.3,1916
6725248,XM_039296518.2,1771
6725249,XM_016172928.3,1131
6725250,XM_016172927.3,1366
6725250,XM_039297525.2,1423
6725251,XM_016172926.3,2527
6725252,XM_039297522.2,5617
6725253,XM_016173502.3,3383
6725253,XM_039297523.1,3199
6725253,XM_016173501.3,3371
6725257,XM_039297511.2,13107
6725257,XM_039297510.2,13072
6725257,XM_044923688.1,13028
6725257,XM_044923689.1,12992
6725257,XM_044923686.1,13082
6725257,XM_039297512.2,13094
6725257,XM_039297513.2,13085
6725257,XM_039297516.2,13052
6725257,XM_039297509.2,13109
6725257,XM_039297515.2,13058
6725257,XM_044923690.1,12967
6725257,XM_044923687.1,13042
6725257,XM_039297521.2,8467
6725258,XM_002106244.4,2223
6725259,XM_002106245.3,1774
6725260,XM_002106246.4,1858
6725261,XM_002106247.4,1858
6725262,XM_016173503.3,1783
6725264,XM_016173504.3,6722
6725264,XM_016173505.3,6719
6725266,XM_016173509.2,1676
6725266,XM_016173506.2,1616
6725266,XM_039298114.1,1634
6725266,XM_016173508.2,1614
6725266,XM_016173507.2,1554
6725268,XM_044923787.1,11461
6725268,XM_039298110.2,11457
6725269,XM_002106255.4,1034
6725270,XM_016173510.2,6225
6725272,XM_016172911.3,2954
6725273,XM_016173511.3,1524
6725274,XM_039298113.2,1790
6725275,XM_002106261.4,1179
6725276,XM_016172910.3,643
6725278,XM_039296334.2,7247
6725278,XM_039296335.2,7226
6725278,XM_039296336.2,7097
6725278,XM_039296337.1,7109
6725278,XM_039296338.1,6999
6725278,XM_039296339.1,6923
6725279,XM_016172909.3,2094
6725280,XM_039297818.2,3423
6725280,XM_039297820.1,3381
6725280,XM_039297819.2,3411
6725280,XM_039297821.2,3204
6725280,XM_016173519.3,3486
6725280,XM_044923766.1,3444
6725280,XM_044923767.1,3432
6725283,XM_016172908.3,5901
6725287,XM_002106272.3,1491
6725288,XM_016172907.3,1091
6725290,XM_039297557.2,3841
6725292,XM_044923653.1,15177
6725292,XM_039297552.2,16740
6725292,XM_039297553.2,16592
6725292,XM_044923654.1,10624
6725292,XM_039297554.2,11670
6725292,XM_016173535.3,11705
6725292,XM_016173524.3,11702
6725292,XM_016173531.3,11363
6725292,XM_016173536.3,11018
6725292,XM_016173543.3,11359
6725292,XM_016173542.3,7048
6725292,XM_016173539.3,6359
6725292,XM_016173538.3,6703
6725292,XM_016173530.3,4182
6725292,XM_044923652.1,15321
6725292,XR_005544656.2,10325
6725292,XR_006542078.1,10228
6725292,XR_001599840.3,10290
6725293,XM_039297563.2,790
6725293,XM_002106277.4,1607
6725294,XM_016173544.3,3291
6725296,XM_002106279.4,2263
6725297,XM_016173547.3,5920
6725297,XM_016173546.3,5830
6725297,XM_016173550.3,5066
6725297,XM_016173549.3,4968
6725297,XM_039297555.2,5043
6725297,XM_016173548.3,5031
6725297,XM_039297556.2,5007
6725298,XM_002106280.4,952
6725299,XM_016173551.3,2996
6725299,XM_039297561.2,2791
6725300,XM_039297562.2,4818
6725300,XR_005544657.2,2799
6725301,XM_002106283.4,2806
6725302,XM_002106284.4,734
6725303,XM_016172905.3,902
6725304,XM_016173552.3,1510
6725304,XM_016173554.3,1480
6725304,XM_016173556.3,1596
6725304,XM_016173555.3,1470
6725305,XM_039297731.2,6795
6725305,XM_039297732.2,6631
6725305,XM_044923605.1,6353
6725306,XM_016172901.3,3786
6725306,XM_016172900.3,3298
6725306,XM_016172899.2,3691
6725307,XM_016173558.3,10458
6725307,XM_016173559.3,11656
6725308,XM_002106290.4,912
6725308,XM_016173560.3,776
6725309,XM_016172896.3,1796
6725309,XM_016172898.3,1808
6725309,XM_016172897.3,1847
6725309,XM_016172895.3,1859
6725313,XM_044923602.1,6347
6725313,XM_039297725.2,6004
6725313,XM_044923601.1,6122
6725313,XM_044923603.1,5865
6725313,XM_039297723.2,5840
6725313,XM_039297721.2,5988
6725313,XM_044923600.1,7254
6725313,XM_039297715.2,7485
6725313,XM_039297714.2,7509
6725313,XM_039297719.2,7229
6725313,XM_039297716.1,7381
6725313,XM_044923599.1,7405
6725316,XM_016173561.3,1675
6725318,XM_002106299.4,1192
6725319,XM_039297708.2,10563
6725319,XM_039297709.2,10560
6725320,XM_002106301.3,1973
6725322,XM_039297710.2,7489
6725326,XM_002106307.3,2316
6725327,XM_002106308.4,1065
6725328,XM_016172892.3,2449
6725329,XM_002106310.4,689
6725330,XM_002106311.4,1866
6725332,XM_002106313.4,1520
6725333,XM_016173566.3,715
6725335,XM_002106316.4,1615
6725336,XM_002106317.4,1073
6725337,XM_016172891.3,2435
6725338,XM_002106319.3,967
6725339,XM_002106320.4,2528
6725343,XM_016172889.3,2156
6725343,XM_016172888.3,2009
6725343,XM_039297547.2,2039
6725345,XM_039297546.2,1803
6725346,XM_002106327.4,1092
6725347,XM_016172886.3,3953
6725349,XM_039297029.2,6748
6725349,XM_039297028.2,6695
6725352,XM_002106333.3,1356
6725353,XM_016172882.3,3653
6725353,XM_016172883.3,3656
6725353,XM_039297030.2,4111
6725354,XM_002106335.4,2952
6725355,XM_002106336.4,2055
6725356,XM_002106337.4,3659
6725357,XM_016173572.3,2083
6725359,XM_016173573.3,817
6725360,XM_002106341.4,743
6725361,XM_002106342.3,648
6725362,XM_002106343.4,606
6725363,XM_002106344.4,381
6725364,XM_002106345.4,2069
6725365,XM_002106346.4,887
6725366,XM_002106347.4,361
6725368,XM_016173574.2,436
6725369,XM_044923566.1,3807
6725369,XM_016172878.3,4094
6725369,XM_016172880.3,4097
6725369,XM_016172879.3,1646
6725371,XM_002106352.4,470
6725372,XM_016172876.3,1364
6725374,XM_002106355.4,2436
6725375,XM_039298079.2,9104
6725375,XM_039298082.2,8563
6725375,XM_039298081.2,8565
6725375,XM_039298077.1,7995
6725375,XM_039298080.1,7458
6725375,XM_044923804.1,6558
6725375,XM_039298078.1,7992
6725376,XM_016173576.3,3423
6725377,XM_002106358.4,2711
6725378,XM_016173577.3,1424
6725379,XM_016173578.3,2071
6725380,XM_002106361.3,1918
6725382,XM_002106363.4,571
6725383,XM_016173580.3,950
6725383,XM_016173581.3,961
6725384,XM_002106365.4,1748
6725385,XM_002106366.4,656
6725387,XM_016173582.3,2918
6725390,XM_002106370.4,1561
6725391,XM_016173583.3,3935
6725393,XM_016173587.3,2271
6725393,XM_016173584.3,2207
6725394,XM_002106374.4,1937
6725395,XM_039297627.2,3652
6725396,XM_002106376.4,1730
6725397,XM_002106377.4,5395
6725398,XM_002106378.4,2816
6725398,XR_006542102.1,1824
6725399,XM_002106379.4,1229
6725400,XM_016172871.3,8012
6725401,XM_016172870.3,1356
6725402,XM_016173588.3,9393
6725402,XM_016173589.3,9390
6725402,XM_016173590.3,9334
6725403,XM_002106383.4,1863
6725404,XM_044923642.1,688
6725404,XM_002106384.4,725
6725405,XM_016172866.3,5776
6725405,XM_016172867.3,5658
6725405,XM_016172869.3,5658
6725406,XM_016173593.3,3877
6725406,XM_016173594.3,3873
6725406,XM_039296635.2,3812
6725408,XM_002106388.4,1572
6725409,XM_044923697.1,10000
6725409,XM_044923698.1,9983
6725409,XM_044923695.1,9875
6725409,XM_044923693.1,9882
6725409,XM_044923694.1,9605
6725409,XM_044923704.1,9886
6725409,XM_044923691.1,10169
6725409,XM_039296277.2,9888
6725409,XM_039296276.2,9900
6725409,XM_044923703.1,9888
6725409,XM_044923692.1,9900
6725409,XM_044923700.1,9551
6725409,XM_044923699.1,9562
6725409,XM_044923701.1,9607
6725409,XM_044923696.1,9599
6725409,XM_044923702.1,9595
6725409,XM_039296279.2,4368
6725409,XM_039296278.2,4383
6725410,XM_016173597.3,4102
6725410,XM_016173598.3,4101
6725410,XM_016173596.3,4162
6725410,XM_016173595.3,4112
6725411,XM_039296281.2,5038
6725411,XM_016172863.3,5076
6725411,XM_039296280.2,5062
6725412,XM_002106392.3,2333
6725413,XM_039296285.1,1239
6725413,XM_016172862.2,1691
6725415,XM_044923705.1,3733
6725415,XM_039296282.2,3751
6725415,XM_039296283.2,2996
6725416,XM_016172858.3,3472
6725416,XM_044923706.1,3559
6725416,XM_016172856.3,3261
6725416,XM_016172857.3,3259
6725417,XM_002106397.4,2128
6725418,XM_002106398.4,2041
6725419,XM_016172855.3,2587
6725419,XM_039297271.2,2882
6725420,XM_002106400.4,2006
6725421,XM_002106401.4,2707
6725422,XM_016173600.3,3938
6725423,XM_002106403.4,1732
6725424,XM_002106404.4,2035
6725425,XM_002106405.3,698
6725426,XM_002106406.4,1802
6725427,XM_002106407.4,1551
6725428,XM_002106408.4,1668
6725430,XM_039296708.2,6521
6725430,XM_039296714.2,8521
6725430,XM_039296703.2,8763
6725430,XM_039296707.2,8394
6725430,XM_039296705.2,8460
6725430,XM_039296710.2,7461
6725430,XM_039296709.2,7533
6725430,XM_039296712.2,6234
6725430,XM_016173603.2,6372
6725430,XM_039296711.1,6527
6725430,XM_039296713.1,4850
6725432,XM_002106412.4,795
6725433,XM_002106413.4,1195
6725434,XM_016173605.3,2047
6725434,XM_016173607.3,2274
6725434,XM_016173606.3,1884
6725435,XM_016173608.3,4224
6725436,XM_002106416.4,1215
6725437,XM_016172852.2,967
6725438,XM_002106418.4,2311
6725439,XM_039296715.2,3867
6725440,XM_044923620.1,2901
6725440,XM_044923618.1,3503
6725440,XM_016173611.3,3449
6725440,XM_044923619.1,3110
6725441,XM_016172850.3,2556
6725447,XM_002106427.4,836
6725448,XM_016172848.3,1016
6725448,XM_002106428.4,962
6725450,XM_002106430.4,986
6725451,XM_002106431.4,806
6725452,XM_002106432.3,1251
6725453,XM_002106433.4,1068
6725454,XM_002106434.4,1799
6725454,XM_016173615.3,780
6725455,XM_002106435.4,1452
6725459,XM_002106439.4,3948
6725460,XM_016173625.3,7398
6725460,XM_016173627.3,5122
6725460,XM_039296526.2,7400
6725460,XM_016173623.3,7319
6725460,XR_001599844.3,5440
6725469,XM_002106449.4,3423
6725471,XM_016173635.3,2177
6725472,XM_002106452.4,1325
6725473,XM_002106453.4,1381
6725474,XM_016172843.3,1576
6725475,XM_016173636.3,2128
6725476,XM_016172840.2,1652
6725476,XM_016172841.2,1670
6725476,XM_016172842.3,1472
6725477,XM_002106457.4,1642
6725478,XM_016172838.3,3286
6725478,XM_016172839.3,3127
6725479,XM_002106459.3,883
6725480,XM_039296469.2,2610
6725480,XM_039296470.2,1634
6725480,XM_039296471.2,1439
6725482,XM_016173637.3,4085
6725483,XM_016172825.3,2733
6725483,XM_016172835.3,2597
6725483,XM_016172831.3,2842
6725483,XM_016172827.3,2682
6725483,XM_039298015.2,2700
6725483,XM_016172830.3,2672
6725483,XM_039298013.2,2656
6725483,XM_016172834.3,2614
6725483,XM_016172829.3,2597
6725483,XM_039298014.2,2471
6725483,XM_016172833.3,2428
6725483,XM_016172832.3,2382
6725488,XM_002106468.4,903
6725491,XM_039296896.2,8362
6725491,XM_039296897.2,7985
6725491,XM_039296898.2,7930
6725491,XM_039296893.2,7926
6725491,XM_039296894.2,7923
6725491,XM_039296895.2,7549
6725491,XM_039296883.2,9101
6725491,XM_039296885.2,9077
6725491,XM_039296881.2,9161
6725491,XM_039296882.2,9107
6725491,XM_039296884.2,9092
6725491,XM_039296886.1,4171
6725491,XM_039296888.2,8742
6725491,XM_039296887.2,8751
6725491,XM_039296890.2,8748
6725491,XM_039296891.2,8697
6725491,XM_039296892.2,8677
6725491,XM_039296889.2,8873
6725491,XR_005544546.1,4808
6725493,XM_016173644.3,5757
6725493,XM_016173643.3,4069
6725493,XM_039296900.2,3790
6725493,XM_016173640.3,4996
6725493,XM_039296899.2,4839
6725494,XM_039296901.2,3391
6725494,XM_039296902.2,3368
6725496,XM_002106474.4,1041
6725497,XM_016172819.3,788
6725498,XM_016172818.3,2051
6725500,XM_016173645.3,2503
6725500,XM_002106478.4,2508
6725502,XM_016173650.3,4502
6725502,XM_016173651.3,4484
6725502,XM_016173647.3,4897
6725502,XM_016173646.3,4771
6725502,XM_044923802.1,4753
6725502,XM_016173649.3,4709
6725502,XM_039298123.2,4730
6725504,XM_016173652.2,4265
6725505,XM_002106483.4,732
6725508,XM_002106485.4,1461
6725509,XM_002106486.4,834
6725510,XM_016172817.2,501
6725511,XM_002106488.4,1646
6725512,XM_039296827.2,21565
6725512,XM_039296832.2,21514
6725512,XM_039296831.2,21624
6725512,XM_039296829.2,21639
6725512,XM_044923556.1,21471
6725512,XM_044923555.1,21593
6725512,XM_039296828.2,20706
6725513,XM_002106490.4,760
6725514,XM_002106491.4,786
6725515,XM_016172816.2,1282
6725515,XM_016172815.3,1264
6725516,XM_039296790.2,3407
6725517,XM_002106494.4,2045
6725519,XM_002106496.4,747
6725520,XM_002106497.3,452
6725521,XM_002106498.4,1507
6725521,XM_039296771.1,1063
6725522,XM_002106499.4,1509
6725523,XM_002106500.4,1224
6725524,XM_044923552.1,5669
6725527,XM_016172812.3,3719
6725527,XM_044923756.1,3059
6725527,XM_016172810.3,2434
6725528,XM_016173657.3,1784
6725528,XM_016173656.3,1775
6725530,XM_016173658.3,2653
6725530,XM_016173659.3,3546
6725531,XM_039296871.2,3020
6725532,XM_039296873.2,1606
6725532,XM_039296872.2,1618
6725534,XM_016172808.3,2128
6725534,XM_039296870.2,2172
6725535,XM_016173661.3,1602
6725536,XM_016172806.2,5885
6725537,XM_039296930.2,3580
6725537,XM_016173662.3,3582
6725539,XM_039298006.2,3712
6725539,XM_039298004.2,3781
6725539,XM_039298005.2,3727
6725539,XM_039298003.2,3796
6725539,XM_039298007.2,3422
6725539,XM_039298009.2,2313
6725539,XR_006542093.1,2521
6725550,XM_016172802.3,3364
6725552,XM_016173664.3,6274
6725552,XM_016173663.3,3366
6725552,XM_016173665.3,2992
6725553,XM_002106528.4,1740
6725554,XM_016172800.3,1964
6725554,XM_016172799.3,2170
6725558,XM_002106533.4,915
6725559,XM_016172798.3,434
6725560,XM_016173666.3,1752
6725561,XM_039297323.2,5358
6725561,XM_039297321.2,5544
6725561,XM_039297322.2,5482
6725561,XM_039297324.2,5491
6725563,XM_039297320.2,13635
6725563,XM_039297318.2,13665
6725563,XM_039297319.2,13653
6725563,XM_039297317.2,13683
6725566,XM_016173669.3,3938
6725566,XM_016173668.3,3565
6725567,XM_016173672.2,7858
6725567,XM_016173671.3,7940
6725568,XM_002106543.4,1825
6725569,XM_002106544.4,1862
6725571,XM_002106546.4,2306
6725571,XM_039297544.2,2282
6725573,XM_002106547.4,938
6725574,XM_016173674.3,3678
6725575,XM_039297480.2,8590
6725575,XM_039297488.2,14435
6725575,XM_044923758.1,8626
6725575,XM_039297481.2,7591
6725575,XM_016173675.3,8581
6725575,XM_016173677.3,7546
6725575,XM_039297482.2,6603
6725575,XM_039297484.2,5925
6725575,XM_039297483.2,6480
6725575,XM_044923759.1,5802
6725575,XM_039297487.2,5397
6725575,XM_039297486.2,5445
6725575,XM_016173676.3,4767
6725577,XM_002106551.3,1649
6725578,XM_039297497.2,1897
6725578,XM_039297493.2,3250
6725578,XM_044923760.1,3506
6725578,XM_016172787.3,3583
6725578,XM_039297496.2,3562
6725578,XM_039297495.2,3626
6725578,XM_039297494.2,3712
6725579,XM_039297498.1,1322
6725580,XM_039297490.2,6294
6725580,XM_039297489.2,6297
6725580,XM_039297491.2,4259
6725580,XM_039297492.2,4542
6725581,XM_002106555.4,1851
6725585,XM_016172784.3,2606
6725585,XM_002106558.4,2595
6725586,XM_039297301.2,905
6725586,XM_002106559.4,1020
6725587,XM_002106560.4,3201
6725588,XM_002106561.3,3573
6725590,XM_002106563.4,4995
6725591,XM_002106564.4,1139
6725595,XM_039296619.1,5534
6725595,XM_039296620.1,5618
6725595,XM_039296618.1,5705
6725595,XM_039296621.2,6174
6725595,XM_039296622.2,4316
6725595,XM_039296623.2,3349
6725596,XM_016173686.3,1940
6725597,XM_016172780.3,1414
6725598,XM_016173687.3,2428
6725598,XM_039297739.2,2409
6725599,XM_002106570.4,2355
6725601,XM_016172779.3,715
6725602,XM_002106573.4,895
6725605,XM_002106576.4,2873
6725606,XM_016172777.3,1883
6725608,XM_039297994.2,3492
6725608,XM_016172776.2,2788
6725608,XM_002106579.4,2821
6725610,XM_016173690.3,10083
6725610,XM_016173691.3,2923
6725614,XM_002106585.4,1093
6725615,XM_039297439.2,7598
6725615,XM_039297443.2,7222
6725615,XM_039297441.2,7441
6725615,XM_039297444.2,7065
6725615,XM_039297440.2,7517
6725615,XM_039297445.2,7416
6725615,XM_039297446.2,7413
6725615,XM_039297448.2,7407
6725615,XM_039297447.2,7407
6725615,XM_039297449.2,7401
6725615,XM_039297450.2,7398
6725615,XM_039297451.2,7392
6725615,XM_039297452.2,7224
6725615,XM_039297453.2,7203
6725615,XM_039297442.2,7371
6725616,XM_002106587.4,5504
6725617,XM_016173693.3,2508
6725618,XM_016172772.3,2846
6725618,XM_016172773.3,2677
6725619,XM_002106590.2,1223
6725620,XM_002106591.4,2774
6725621,XM_002106592.4,1323
6725622,XM_016172771.3,1360
6725623,XM_016172770.3,1681
6725623,XM_016172769.3,1674
6725624,XM_039297010.2,6981
6725624,XM_016172767.3,6971
6725624,XM_016172761.3,7020
6725624,XM_016172757.3,6844
6725624,XM_016172765.3,6819
6725624,XM_039297009.2,6667
6725624,XM_016172755.3,6140
6725624,XM_016172764.3,6150
6725624,XM_016172768.3,6156
6725624,XM_016172760.3,5926
6725624,XM_039297012.2,5712
6725624,XM_016172758.3,5733
6725624,XM_016172762.3,5886
6725625,XM_016172753.3,3140
