NCBI GeneID,Protein Accession,Protein_length
6728800,XP_016035486.1,101
6728801,XP_016035487.1,392
6728802,XP_016035489.1,871
6728802,XP_016035490.1,872
6728802,XP_016035491.1,1330
6728802,XP_016035492.1,804
6728802,XP_039151361.1,421
6728803,XP_016035493.1,468
6728805,XP_016035494.1,350
6728806,XP_044779291.1,368
6728806,XP_044779292.1,368
6728808,XP_016035500.1,258
6728808,XP_016035501.1,258
6728809,XP_002104143.1,520
6728810,XP_002104144.1,265
6728811,XP_002104145.1,265
6728812,XP_016035502.1,180
6728812,XP_039150863.1,180
6728815,XP_002104149.1,833
6728816,XP_002104150.1,430
6728817,XP_002104151.1,268
6728818,XP_002104152.1,320
6728819,XP_002104153.2,281
6728819,XP_016035504.2,276
6728820,XP_002104154.1,195
6728821,XP_002104155.2,292
6728822,XP_002104156.1,443
6728824,XP_002104158.1,316
6728825,XP_002104159.1,534
6728825,XP_044779153.1,534
6728825,XP_044779154.1,223
6728826,XP_002104160.1,1345
6728826,XP_016035508.1,864
6728830,XP_016035510.1,940
6728830,XP_016035511.1,1536
6728830,XP_016035513.1,922
6728830,XP_016035515.1,942
6728830,XP_016035516.1,952
6728830,XP_016035517.1,956
6728830,XP_016035518.1,1186
6728830,XP_016035519.1,926
6728830,XP_016035520.1,936
6728830,XP_039151271.1,1566
6728830,XP_039151272.1,1566
6728830,XP_039151273.1,1552
6728830,XP_039151274.1,1550
6728830,XP_039151275.1,1216
6728830,XP_039151276.1,938
6728830,XP_039151277.1,851
6728831,XP_002104165.1,417
6728834,XP_002104168.1,337
6728835,XP_002104169.2,557
6728837,XP_039151278.1,1347
6728837,XP_039151279.1,1347
6728837,XP_039151280.1,1347
6728837,XP_039151281.1,1347
6728839,XP_002104173.2,240
6728841,XP_016035523.1,328
6728841,XP_016035524.1,309
6728841,XP_016035525.1,351
6728842,XP_002104176.1,538
6728843,XP_002104177.1,671
6728843,XP_016035526.1,753
6728844,XP_039151283.1,643
6728845,XP_016035528.1,363
6728846,XP_002104180.1,85
6728847,XP_016035529.1,605
6728847,XP_039151284.1,605
6728847,XP_044779151.1,605
6728847,XP_044779152.1,605
6728848,XP_016035531.1,423
6728849,XP_002104183.1,379
6728850,XP_002104184.1,205
6728851,XP_016035533.1,358
6728851,XP_039151285.1,369
6728851,XP_039151286.1,359
6728852,XP_016035535.1,717
6728852,XP_016035536.1,652
6728852,XP_016035538.1,717
6728854,XP_002104188.1,340
6728856,XP_016035540.1,1658
6728858,XP_002104192.1,311
6728860,XP_002104194.2,581
6728861,XP_016035542.1,503
6728861,XP_016035544.1,502
6728861,XP_016035545.1,503
6728862,XP_002104196.1,611
6728862,XP_016035546.1,614
6728866,XP_016035549.1,2454
6728866,XP_016035550.1,2451
6728866,XP_016035551.1,1438
6728866,XP_016035552.1,2090
6728866,XP_016035553.1,2183
6728866,XP_016035554.1,1519
6728866,XP_016035555.1,1735
6728866,XP_016035557.1,2168
6728866,XP_016035558.1,2532
6728866,XP_016035559.1,2394
6728866,XP_016035560.1,1602
6728866,XP_016035561.1,1381
6728866,XP_039151186.1,1735
6728866,XP_039151187.1,1386
6728866,XP_044779226.1,2168
6728867,XP_002104200.2,707
6728867,XP_016035562.1,706
6728868,XP_002104201.2,235
6728869,XP_002104202.1,254
6728871,XP_016035567.1,612
6728872,XP_016035566.1,544
6728874,XP_016035573.1,605
6728875,XP_016035572.1,1256
6728875,XP_039151119.1,1687
6728875,XP_039151120.1,1687
6728875,XP_039151121.1,1649
6728875,XP_039151122.1,1302
6728877,XP_002104210.2,177
6728879,XP_016035568.1,1235
6728880,XP_002104213.2,405
6728880,XP_039150944.1,236
6728881,XP_002104214.2,440
6728883,XP_039151299.1,494
6728885,XP_016035576.1,709
6728885,XP_016035577.1,709
6728885,XP_016035578.1,709
6728886,XP_016035579.1,942
6728887,XP_002104220.2,350
6728888,XP_002104221.2,399
6728889,XP_002104222.2,338
6728890,XP_002104223.1,370
6728890,XP_044779228.1,370
6728891,XP_016035581.1,441
6728891,XP_039151300.1,440
6728892,XP_002104225.1,149
6728893,XP_016035582.1,136
6728893,XP_016035583.1,136
6728893,XP_016035584.1,136
6728894,XP_016035588.1,559
6728895,XP_016035590.1,313
6728896,XP_016035591.1,154
6728897,XP_016035592.1,347
6728897,XP_016035593.1,353
6728898,XP_002104231.1,275
6728899,XP_002104232.1,306
6728900,XP_016035595.1,626
6728904,XP_002104234.2,583
6728905,XP_002104235.1,826
6728906,XP_016035597.1,801
6728906,XP_016035598.1,798
6728907,XP_016035599.1,79
6728907,XP_016035600.1,79
6728907,XP_039151426.1,79
6728908,XP_002104238.1,160
6728909,XP_002104239.2,405
6728910,XP_002104240.1,91
6728911,XP_002104241.1,424
6728912,XP_016035601.1,502
6728915,XP_002104243.1,467
6728918,XP_016035603.1,1413
6728921,XP_016035604.1,141
6728922,XP_002104250.1,155
6728923,XP_002104251.1,421
6728924,XP_002104252.1,412
6728926,XP_002104254.1,455
6728927,XP_002104255.1,455
6728928,XP_016035607.1,455
6728934,XP_016035610.1,813
6728934,XP_016035611.1,1155
6728934,XP_016035612.1,739
6728934,XP_016035613.1,1151
6728934,XP_039150796.1,718
6728937,XP_016035614.2,346
6728939,XP_002104267.1,348
6728939,XP_016035617.1,335
6728939,XP_016035618.1,345
6728940,XP_002104268.2,522
6728941,XP_016035620.1,436
6728941,XP_039150798.1,462
6728941,XP_039150799.1,436
6728944,XP_002104272.1,523
6728945,XP_002104273.1,184
6728946,XP_016035623.1,89
6728947,XP_002104275.2,262
6728948,XP_016035629.1,323
6728949,XP_002104277.1,320
6728950,XP_002104278.1,178
6728951,XP_016035630.1,337
6728952,XP_016035632.1,1666
6728952,XP_016035633.1,1666
6728952,XP_016035634.1,1666
6728952,XP_016035635.1,1643
6728953,XP_002104281.1,383
6728954,XP_002104282.1,232
6728955,XP_002104283.1,238
6728956,XP_002104284.3,140
6728957,XP_016035637.1,311
6728959,XP_016035638.1,613
6728960,XP_002104288.2,887
6728962,XP_002104290.1,603
6728963,XP_016035640.1,234
6728964,XP_039151468.1,556
6728964,XP_039151469.1,556
6728964,XP_039151470.1,515
6728965,XP_002104293.2,490
6728966,XP_002104294.1,490
6728967,XP_016035643.1,478
6728968,XP_002104296.1,304
6728969,XP_002104297.2,555
6728969,XP_016035644.1,420
6728969,XP_016035645.1,418
6728970,XP_016035647.1,735
6728970,XP_016035648.1,735
6728970,XP_016035649.1,735
6728971,XP_002104299.1,555
6728972,XP_002104300.1,531
6728974,XP_002104302.1,180
6728976,XP_039150804.1,708
6728976,XP_039150805.1,486
6728985,XP_002104307.1,186
6728986,XP_002104308.1,272
6728987,XP_002104309.1,713
6728988,XP_002104310.1,482
6728989,XP_002104311.1,536
6728990,XP_002104312.2,530
6728991,XP_039151643.1,1023
6728991,XP_039151644.1,755
6728994,XP_016035659.2,154
6728995,XP_002104316.1,969
6728996,XP_002104317.1,961
6728997,XP_016035660.1,952
6728998,XP_016035661.1,940
6728999,XP_002104320.2,924
6729000,XP_002104321.1,173
6729001,XP_016035662.1,1220
6729001,XP_016035663.1,1219
6729001,XP_016035664.1,1223
6729001,XP_016035665.1,1224
6729002,XP_002104323.2,302
6729002,XP_039151358.1,295
6729003,XP_002104324.1,120
6729004,XP_016035667.1,353
6729005,XP_016035668.2,898
6729005,XP_039151349.1,926
6729005,XP_039151350.1,916
6729005,XP_039151351.1,908
6729005,XP_039151352.1,609
6729005,XP_039151353.1,591
6729005,XP_039151354.1,549
6729005,XP_039151355.1,521
6729005,XP_039151356.1,487
6729005,XP_039151357.1,468
6729007,XP_002104328.1,412
6729010,XP_002104331.1,397
6729011,XP_002104332.1,381
6729012,XP_002104333.1,224
6729013,XP_002104334.1,254
6729014,XP_002104335.2,426
6729014,XP_016035671.1,136
6729014,XP_016035672.1,320
6729014,XP_016035674.1,130
6729014,XP_039151817.1,125
6729015,XP_002104336.1,132
6729015,XP_039151819.1,122
6729016,XP_002104337.1,200
6729016,XP_016035677.1,199
6729017,XP_016035678.1,361
6729017,XP_016035679.1,371
6729017,XP_016035680.1,371
6729020,XP_016035682.1,395
6729021,XP_002104342.1,95
6729022,XP_016035683.1,613
6729022,XP_016035686.1,608
6729024,XP_002104345.2,982
6729024,XP_016035687.1,760
6729025,XP_002104346.1,121
6729026,XP_002104347.1,186
6729026,XP_039151818.1,147
6729027,XP_002104348.1,179
6729028,XP_002104349.1,374
6729028,XP_016035689.1,202
6729029,XP_016035691.1,91
6729034,XP_016035692.2,1179
6729036,XP_002104357.1,353
6729037,XP_002104358.1,370
6729039,XP_016035693.1,845
6729039,XP_016035694.1,852
6729040,XP_002104361.1,178
6729041,XP_002104362.2,293
6729042,XP_016035695.1,281
6729043,XP_016035696.1,407
6729043,XP_016035697.1,407
6729044,XP_002104365.1,547
6729045,XP_002104366.1,576
6729046,XP_002104367.1,239
6729048,XP_016035700.1,409
6729048,XP_016035701.1,384
6729048,XP_016035702.1,423
6729048,XP_016035703.1,423
6729048,XP_016035704.1,408
6729048,XP_016035705.1,422
6729048,XP_016035706.1,398
6729049,XP_002104370.1,256
6729051,XP_002104372.1,440
6729052,XP_039151031.1,604
6729054,XP_016035710.1,1483
6729054,XP_039151137.1,1544
6729060,XP_016035713.1,1338
6729061,XP_016035712.2,951
6729061,XP_039151138.1,1070
6729061,XP_039151139.1,1063
6729061,XP_039151140.1,1033
6729061,XP_039151141.1,1026
6729061,XP_039151142.1,156
6729061,XP_039151143.1,142
6729061,XP_039151144.1,123
6729061,XP_039151145.1,122
6729063,XP_016035714.1,597
6729063,XP_039151147.1,597
6729065,XP_016035715.1,374
6729068,XP_002104389.2,334
6729069,XP_016035716.2,163
6729070,XP_016035717.1,122
6729071,XP_002104392.2,177
6729072,XP_016035718.1,165
6729073,XP_002104394.1,256
6729074,XP_002104395.1,248
6729075,XP_016035719.1,193
6729075,XP_016035720.1,193
6729075,XP_016035721.1,193
6729075,XP_016035722.1,193
6729076,XP_002104397.3,448
6729077,XP_016035726.2,194
6729077,XP_044779278.1,151
6729078,XP_039151337.1,302
6729079,XP_002104400.1,299
6729080,XP_016035727.1,293
6729081,XP_016035728.1,533
6729082,XP_002104403.2,746
6729083,XP_002104404.1,1138
6729084,XP_016035731.1,179
6729086,XP_002104407.1,303
6729086,XP_039151328.1,303
6729086,XP_039151329.1,303
6729086,XP_039151330.1,303
6729086,XP_039151331.1,303
6729086,XP_039151332.1,303
6729086,XP_039151333.1,303
6729086,XP_039151334.1,303
6729086,XP_039151335.1,303
6729086,XP_039151336.1,303
6729087,XP_002104408.1,267
6729087,XP_016035734.1,262
6729088,XP_016035737.1,342
6729089,XP_016035740.1,189
6729090,XP_016035742.1,706
6729091,XP_016035743.1,564
6729093,XP_016035744.1,648
6729093,XP_016035745.1,1415
6729093,XP_039150729.1,510
6729095,XP_002104416.1,496
6729097,XP_002104418.1,273
6729098,XP_044779130.1,2061
6729099,XP_002104420.1,59
6729100,XP_002104421.2,679
6729100,XP_016035747.1,596
6729103,XP_002104424.1,389
6729105,XP_002104426.1,179
6729106,XP_002104427.1,176
6729107,XP_002104428.1,278
6729109,XP_016035749.1,1825
6729109,XP_016035750.1,1525
6729109,XP_016035751.1,1832
6729109,XP_016035753.1,1847
6729109,XP_016035754.1,1844
6729109,XP_016035755.1,1840
6729109,XP_016035756.1,1532
6729109,XP_016035757.1,1837
6729110,XP_002104431.1,168
6729111,XP_002104432.1,229
6729113,XP_002104434.1,137
6729114,XP_016035759.1,508
6729114,XP_044779375.1,435
6729114,XP_044779376.1,421
6729115,XP_016035761.1,403
6729116,XP_002104437.1,331
6729117,XP_016035762.2,322
6729118,XP_016035763.1,277
6729120,XP_002104441.2,362
6729120,XP_016035765.1,411
6729120,XP_016035766.1,444
6729121,XP_016035768.1,322
6729121,XP_016035769.1,322
6729122,XP_016035770.1,295
6729123,XP_002104444.1,336
6729125,XP_002104446.1,281
6729126,XP_002104447.1,291
6729127,XP_002104448.1,358
6729129,XP_016035773.1,1598
6729129,XP_039151022.1,1613
6729129,XP_039151023.1,1552
6729129,XP_039151025.1,1400
6729129,XP_044779212.1,1615
6729129,XP_044779213.1,1536
6729129,XP_044779214.1,1481
6729130,XP_016035774.1,949
6729131,XP_002104452.1,362
6729132,XP_016035776.1,567
6729132,XP_016035777.1,742
6729132,XP_039151028.1,388
6729133,XP_016035778.1,361
6729137,XP_016035786.1,1255
6729137,XP_016035787.1,1553
6729137,XP_016035790.1,1418
6729137,XP_039151090.1,1642
6729137,XP_039151091.1,1418
6729137,XP_039151092.1,1255
6729138,XP_002104459.1,285
6729139,XP_002104460.3,132
6729140,XP_002104461.1,853
6729140,XP_016035791.1,852
6729142,XP_016035796.1,772
6729143,XP_002104464.1,921
6729144,XP_039151083.1,1669
6729144,XP_039151084.1,1668
6729144,XP_039151085.1,1660
6729144,XP_039151086.1,1657
6729144,XP_039151087.1,1618
6729144,XP_039151088.1,1609
6729144,XP_039151089.1,1514
6729144,XP_044779243.1,1659
6729146,XP_002104467.1,827
6729146,XP_016035793.1,847
6729147,XP_002104468.1,515
6729148,XP_002104469.1,155
6729150,XP_002104471.1,902
6729151,XP_002104472.1,397
6729153,XP_016035801.1,274
6729153,XP_016035802.1,203
6729154,XP_016035804.1,216
6729154,XP_016035805.1,281
6729157,XP_002104478.2,513
6729158,XP_002104479.2,691
6729160,XP_002104481.1,323
6729161,XP_002104482.1,404
6729161,XP_016035806.3,397
6729162,XP_002104483.1,411
6729163,XP_016035815.1,741
6729164,XP_002104485.1,696
6729165,XP_002104486.1,686
6729166,XP_002104487.1,120
6729168,XP_016035809.1,1518
6729168,XP_016035811.1,1683
6729168,XP_016035813.1,1733
6729168,XP_039151078.1,1727
6729168,XP_039151079.1,1722
6729168,XP_039151081.1,1689
6729169,XP_002104490.1,471
6729169,XP_016035821.1,470
6729170,XP_016035825.1,710
6729170,XP_039150841.1,584
6729172,XP_002104493.2,276
6729174,XP_016035824.1,543
6729175,XP_002104496.1,167
6729176,XP_002104497.1,156
6729177,XP_002104498.2,387
6729178,XP_002104499.2,383
6729181,XP_016035827.1,578
6729181,XP_016035828.1,578
6729181,XP_039150880.1,577
6729181,XP_039150881.1,356
6729182,XP_016035829.1,424
6729183,XP_016035831.1,852
6729184,XP_002104505.1,321
6729185,XP_016035832.1,361
6729186,XP_002104507.1,489
6729186,XP_016035833.1,334
6729186,XP_016035834.1,386
6729186,XP_039151928.1,489
6729186,XP_044779420.1,479
6729187,XP_002104508.1,404
6729188,XP_016035835.1,403
6729189,XP_016035837.1,604
6729189,XP_044779419.1,604
6729190,XP_016035841.1,625
6729190,XP_016035842.1,622
6729191,XP_016035843.1,401
6729192,XP_016035844.1,402
6729192,XP_016035845.1,402
6729193,XP_002104514.1,400
6729194,XP_002104515.1,401
6729195,XP_002104516.1,401
6729196,XP_002104517.1,806
6729197,XP_002104518.1,828
6729197,XP_016035846.1,835
6729198,XP_002104519.1,640
6729198,XP_016035847.1,385
6729199,XP_002104520.1,340
6729200,XP_039151399.1,469
6729202,XP_002104523.2,599
6729202,XP_016035849.1,672
6729202,XP_044779119.1,670
6729203,XP_002104524.2,350
6729204,XP_002104525.1,211
6729204,XP_044779232.1,181
6729206,XP_002104527.1,549
6729206,XP_016035851.1,646
6729206,XP_016035854.1,589
6729206,XP_016035855.1,532
6729206,XP_016035856.1,534
6729206,XP_016035857.1,544
6729206,XP_016035858.1,578
6729206,XP_039150621.1,544
6729206,XP_044779230.1,544
6729206,XP_044779231.1,520
6729209,XP_016035861.1,1125
6729209,XP_016035862.1,1088
6729209,XP_016035863.1,989
6729209,XP_016035864.1,1109
6729209,XP_039150620.1,1088
6729211,XP_002104532.1,419
6729211,XP_016035865.1,421
6729212,XP_002104533.1,640
6729213,XP_002104534.1,744
6729214,XP_002104535.1,233
6729214,XP_016035867.2,234
6729215,XP_002104536.2,550
6729215,XP_016035868.1,907
6729215,XP_016035869.1,903
6729216,XP_016035870.1,718
6729217,XP_016035871.1,354
6729218,XP_002104539.1,550
6729219,XP_002104540.1,535
6729222,XP_016035876.1,2236
6729223,XP_016035878.1,106
6729224,XP_002104545.1,356
6729225,XP_002104546.1,246
6729227,XP_016035879.1,474
6729229,XP_002104550.2,116
6729230,XP_016035881.1,1327
6729231,XP_016035882.1,138
6729232,XP_002104553.2,611
6729233,XP_016035884.1,137
6729234,XP_016035886.1,766
6729234,XP_039150720.1,766
6729236,XP_002104557.2,558
6729238,XP_016035890.1,467
6729238,XP_016035891.1,451
6729239,XP_002104560.1,412
6729240,XP_002104561.2,659
6729240,XP_016035892.1,708
6729240,XP_016035893.1,644
6729241,XP_002104562.2,536
6729242,XP_002104563.2,553
6729242,XP_016035895.1,548
6729243,XP_016035898.1,540
6729245,XP_016035900.1,446
6729246,XP_002104567.2,699
6729247,XP_039150891.1,708
6729248,XP_016035902.2,710
6729248,XP_039150889.1,358
6729248,XP_039150890.1,680
6729249,XP_002104570.1,695
6729250,XP_016035903.3,733
6729252,XP_016035905.1,383
6729253,XP_016035906.2,978
6729253,XP_039151842.1,975
6729254,XP_002104574.2,216
6729255,XP_002104575.1,208
6729256,XP_002104576.1,560
6729257,XP_002104577.1,368
6729258,XP_016035908.1,355
6729259,XP_002104579.1,400
6729259,XP_016035909.1,414
6729260,XP_002104580.2,406
6729261,XP_002104581.2,1410
6729261,XP_016035910.1,1391
6729262,XP_002104582.1,229
6729263,XP_016035911.1,607
6729265,XP_002104585.1,560
6729266,XP_002104586.1,561
6729267,XP_016035912.2,563
6729268,XP_002104588.2,353
6729269,XP_016035913.1,311
6729270,XP_002104590.1,332
6729271,XP_016035916.1,509
6729271,XP_039151030.1,509
6729271,XP_044779318.1,509
6729271,XP_044779319.1,487
6729272,XP_016035917.1,284
6729272,XP_016035918.1,284
6729272,XP_016035920.1,284
6729272,XP_044779321.1,284
6729273,XP_002104593.1,382
6729275,XP_002104595.1,449
6729275,XP_044779320.1,448
6729276,XP_002104596.1,428
6729277,XP_002104597.2,818
6729278,XP_002104598.1,200
6729280,XP_002104600.1,620
6729281,XP_002104601.1,404
6729281,XP_016035923.1,430
6729282,XP_002104602.1,208
6729283,XP_002104603.1,254
6729283,XP_016035924.1,160
6729284,XP_002104604.1,1197
6729285,XP_016035925.1,276
6729285,XP_016035926.1,276
6729288,XP_016035928.1,1970
6729288,XP_016035929.1,2008
6729288,XP_039151507.1,1772
6729289,XP_016035930.1,515
6729289,XP_016035931.1,338
6729289,XP_016035932.1,515
6729291,XP_016035934.2,2067
6729294,XP_016035935.1,751
6729294,XP_016035936.1,744
6729297,XP_016035937.1,424
6729298,XP_002104615.1,106
6729299,XP_016035938.1,509
6729300,XP_002104617.1,282
6729301,XP_016035939.2,1574
6729301,XP_039151512.1,1417
6729301,XP_039151514.1,1286
6729301,XP_044779322.1,1574
6729301,XP_044779323.1,1574
6729302,XP_002104619.1,253
6729303,XP_002104620.2,578
6729304,XP_002104621.3,255
6729306,XP_039151540.1,153
6729307,XP_039151538.1,166
6729308,XP_002104625.1,155
6729309,XP_002104626.1,439
6729310,XP_002104627.1,295
6729311,XP_016035943.1,155
6729312,XP_002104629.1,371
6729313,XP_002104630.1,562
6729313,XP_016035944.1,549
6729314,XP_016035945.1,532
6729314,XP_039151523.1,532
6729316,XP_002104632.2,996
6729316,XP_016035946.1,1714
6729316,XP_039151508.1,1006
6729317,XP_016035947.1,157
6729317,XP_016035948.1,150
6729317,XP_016035949.1,152
6729317,XP_016035950.1,157
6729319,XP_044779326.1,1571
6729320,XP_039151536.1,233
6729322,XP_016035957.1,751
6729322,XP_016035958.1,717
6729323,XP_016035959.1,207
6729323,XP_039151537.1,207
6729324,XP_002104641.2,103
6729325,XP_002104642.2,1178
6729325,XP_016035961.1,842
6729325,XP_016035962.1,1136
6729325,XP_039151521.1,1178
6729325,XP_044779324.1,1178
6729326,XP_002104643.2,608
6729328,XP_016035963.1,652
6729328,XP_016035964.1,665
6729328,XP_016035965.1,673
6729329,XP_002104646.2,758
6729329,XP_016035966.1,696
6729330,XP_016035974.1,233
6729331,XP_002104648.1,422
6729333,XP_016035975.1,447
6729333,XP_016035976.1,447
6729334,XP_002104651.1,153
6729337,XP_016035978.1,1238
6729339,XP_002104656.2,314
6729340,XP_002104657.1,144
6729341,XP_016035982.1,669
6729343,XP_002104659.1,546
6729344,XP_016035983.2,2046
6729344,XP_044779400.1,2046
6729345,XP_002104661.1,516
6729346,XP_016035984.1,1100
6729347,XP_002104663.2,710
6729348,XP_002104664.1,170
6729348,XP_039151820.1,174
6729350,XP_016035985.1,525
6729350,XP_016035986.1,524
6729351,XP_002104667.1,464
6729352,XP_016035987.1,347
6729353,XP_016035989.1,366
6729354,XP_016035990.1,544
6729355,XP_016035992.1,1288
6729355,XP_016035993.1,864
6729355,XP_039151840.1,1268
6729356,XP_002104672.1,305
6729357,XP_002104673.2,191
6729358,XP_002104674.1,1067
6729359,XP_002104675.1,329
6729360,XP_016035995.1,94
6729360,XP_016035996.1,133
6729360,XP_039150933.1,134
6729362,XP_002104678.1,354
6729363,XP_016035997.1,244
6729363,XP_039151834.1,244
6729364,XP_039151831.1,1126
6729365,XP_016035999.1,553
6729365,XP_016036001.1,904
6729365,XP_039151832.1,869
6729368,XP_016036002.1,566
6729368,XP_016036004.1,573
6729368,XP_016036005.1,573
6729368,XP_016036008.1,358
6729368,XP_044779386.1,573
6729368,XP_044779387.1,552
6729371,XP_002104687.1,365
6729372,XP_016036012.1,52
6729373,XP_002104689.1,179
6729375,XP_039151821.1,4002
6729375,XP_039151822.1,4000
6729375,XP_039151823.1,3999
6729375,XP_039151824.1,3990
6729375,XP_039151825.1,4003
6729375,XP_039151826.1,3626
6729375,XP_039151828.1,3625
6729375,XP_039151829.1,3613
6729375,XP_039151830.1,3612
6729375,XP_044779385.1,4003
6729376,XP_016036014.1,589
6729377,XP_002104693.2,1272
6729377,XP_016036015.1,1269
6729377,XP_016036016.1,1269
6729377,XP_016036019.1,1287
6729377,XP_016036021.1,1257
6729379,XP_002104694.2,566
6729381,XP_002104696.1,477
6729382,XP_016036023.1,570
6729383,XP_016036024.2,290
6729383,XP_016036026.2,291
6729384,XP_002104699.1,260
6729384,XP_016036027.1,305
6729386,XP_002104701.2,295
6729387,XP_016036029.2,2267
6729387,XP_039150440.1,2259
6729387,XP_039150442.1,2253
6729387,XP_039150443.1,2203
6729387,XP_039150444.1,2189
6729387,XP_039150445.1,2160
6729387,XP_039150446.1,2146
6729388,XP_002104703.1,1008
6729389,XP_016036035.1,2216
6729389,XP_016036036.1,2235
6729389,XP_044779170.1,1912
6729391,XP_016036037.1,1430
6729392,XP_016036038.1,982
6729393,XP_002104708.1,674
6729394,XP_016036040.1,100
6729395,XP_016036041.2,457
6729395,XP_039150447.1,480
6729395,XP_039150448.1,474
6729395,XP_039150449.1,451
6729396,XP_016036042.1,1129
6729396,XP_016036043.1,1571
6729396,XP_016036044.1,1138
6729397,XP_016036045.1,516
6729398,XP_002104713.1,493
6729400,XP_016036047.1,313
6729401,XP_002104716.1,232
6729402,XP_039151505.1,237
6729403,XP_002104718.1,219
6729404,XP_016036050.2,254
6729405,XP_002104720.1,306
6729406,XP_016036052.1,476
6729407,XP_016036053.1,444
6729408,XP_002104723.1,219
6729409,XP_016036055.1,227
6729410,XP_016036056.1,276
6729410,XP_039151136.1,411
6729411,XP_016036058.3,373
6729412,XP_016036060.2,571
6729414,XP_002104729.1,166
6729415,XP_002104730.1,576
6729417,XP_002104732.1,519
6729418,XP_002104733.1,737
6729419,XP_002104734.2,327
6729420,XP_002104735.1,280
6729422,XP_016036062.1,1721
6729423,XP_039151892.1,1403
6729423,XP_039151893.1,1403
6729423,XP_039151894.1,1403
6729424,XP_016036065.1,855
6729424,XP_016036066.1,851
6729424,XP_039151988.1,851
6729424,XP_039151989.1,822
6729424,XP_039151990.1,822
6729429,XP_016036068.1,814
6729430,XP_044779073.1,647
6729433,XP_016036070.1,1980
6729433,XP_016036072.1,1911
6729433,XP_016036073.1,1958
6729433,XP_016036074.1,1933
6729433,XP_016036075.1,1980
6729434,XP_002104745.2,395
6729435,XP_002104746.1,791
6729436,XP_016036076.1,541
6729436,XP_016036077.1,541
6729437,XP_002104748.1,64
6729438,XP_016036078.1,3912
6729438,XP_039151985.1,3921
6729438,XP_039151986.1,3921
6729441,XP_002104752.1,350
6729441,XP_039151992.1,556
6729441,XP_039151993.1,402
6729442,XP_002104753.1,391
6729444,XP_016022617.1,957
6729444,XP_016022618.1,715
6729444,XP_016022619.1,726
6729445,XP_002104756.2,150
6729446,XP_002104757.2,475
6729447,XP_016036081.1,1200
6729447,XP_016036084.1,1187
6729447,XP_016036085.1,1175
6729447,XP_016036086.1,1175
6729447,XP_016036088.1,1175
6729447,XP_016036090.1,1246
6729447,XP_016036091.1,1175
6729447,XP_016036094.1,1180
6729447,XP_016036096.1,1175
6729447,XP_016036097.1,1197
6729447,XP_016036100.1,1159
6729447,XP_016036104.1,1183
6729447,XP_016036109.1,1213
6729447,XP_016036111.2,1217
6729447,XP_016036112.1,1135
6729447,XP_016036113.1,1210
6729447,XP_016036116.2,1218
6729447,XP_016036117.1,1246
6729447,XP_016036119.1,1175
6729447,XP_016036121.1,1246
6729447,XP_016036122.2,1210
6729447,XP_039151153.1,1229
6729447,XP_039151154.1,1229
6729447,XP_039151155.1,1229
6729447,XP_039151158.1,1218
6729447,XP_039151160.1,1217
6729447,XP_039151162.1,1210
6729447,XP_039151163.1,1229
6729447,XP_039151164.1,1207
6729447,XP_039151165.1,1205
6729447,XP_039151166.1,1204
6729447,XP_039151167.1,1192
6729447,XP_039151168.1,1185
6729447,XP_039151169.1,1180
6729447,XP_039151170.1,1157
6729447,XP_039151172.1,1196
6729447,XP_044779263.1,709
6729450,XP_016036125.1,611
6729450,XP_016036126.1,697
6729451,XP_002104762.1,67
6729452,XP_016036127.1,374
6729456,XP_016036131.1,1954
6729457,XP_016036133.1,151
6729461,XP_016036135.1,1619
6729462,XP_016036136.1,339
6729463,XP_002104773.1,462
6729464,XP_016036137.1,640
6729464,XP_016036138.1,631
6729464,XP_044779274.1,363
6729465,XP_002104775.2,363
6729466,XP_016036141.1,1654
6729467,XP_002104777.1,527
6729468,XP_002104778.1,245
6729469,XP_002104779.1,137
6729470,XP_016036142.1,655
6729472,XP_002104782.1,925
6729472,XP_016036143.1,926
6729473,XP_016036146.1,841
6729474,XP_016036147.1,213
6729474,XP_039151340.1,213
6729475,XP_002104785.1,394
6729476,XP_016036148.1,137
6729476,XP_039151341.1,137
6729476,XP_039151342.1,137
6729476,XP_039151343.1,137
6729477,XP_002104787.1,186
6729478,XP_002104788.3,197
6729478,XP_016036150.1,178
6729479,XP_016036151.1,654
6729479,XP_044779220.1,614
6729480,XP_002104790.1,180
6729481,XP_002104791.2,695
6729481,XP_016036152.1,699
6729482,XP_002104792.1,343
6729483,XP_002104793.1,279
6729483,XP_016036153.1,246
6729483,XP_016036155.1,237
6729483,XP_039151075.1,301
6729483,XP_044779222.1,259
6729483,XP_044779223.1,200
6729484,XP_016036156.1,561
6729487,XP_002104797.3,351
6729487,XP_039151074.1,331
6729488,XP_002104798.1,575
6729489,XP_039151070.1,1101
6729489,XP_044779219.1,1041
6729490,XP_002104800.1,477
6729491,XP_016036162.1,590
6729492,XP_016036163.1,910
6729493,XP_016036164.1,604
6729493,XP_016036165.1,604
6729494,XP_016036167.1,804
6729494,XP_016036168.1,816
6729495,XP_002104805.2,452
6729495,XP_016036169.1,452
6729495,XP_044779221.1,480
6729497,XP_002104807.1,536
6729497,XP_016036170.1,536
6729497,XP_039151302.1,438
6729500,XP_016036171.1,863
6729500,XP_016036172.1,849
6729501,XP_002104809.1,756
6729501,XP_016036174.1,757
6729501,XP_039151301.1,740
